Porosity [-],Bulk Density [g/cm3],Saturated Thermal Conductivity [W/mK],Dry Soil Thermal Conductivity [W/mK],Saturated Hydraulic Conductivity [m/s],alpha [1/m], n [-],s_r [-],,,Dry Soil Thermal Conductivity [W/mK],,,,Porosity [-],,,,Saturated Hydraulic Conductivity [m/s],,,alpha [1/m]
0.4759036145,0.9236947791,1.095,0.396,3E+02,,,,,,,,,0.08,0.92,,,0.06,1.37E-03,,,
0.6907630522,0.1485943775,0.582,0.540,3E+02,,,,,,,,,0.09,0.92,,,0.06,1.38E-03,,,
0.8895582329,0.2991967871,0.612,0.164,3E+02,,,,,,,,,0.23,0.92,,,0.09,1.60E-03,,,
0.875502008,0.2248995984,0.482,0.161,3E+02,,,,,,,,,0.09,0.92,,,0.06,1.66E-03,,,
0.718875502,0.3172690763,0.562,0.157,3E+02,,,,,,,,,0.08,0.93,,,0.07,1.69E-03,,,
0.8638554217,0.218875502,0.575,0.158,4E+02,,,,,,,,,0.1606425703,0.9325301205,,,0.08,1.82E-03,,,
0.8534136546,0.2168674699,0.565,0.153,4E+02,,,,,,,,,0.15,0.94,,,0.05,1.88E-03,,,
-0.3253012048,0.3253012048,,,4E+02,,,,,,,,,0.05,0.94,,,0.02,1.96E-03,,,
0.8955823293,0.1767068273,0.563,0.159,3.84E+02,,,,,,,,,0.1184738956,0.9397590361,,,0.07,2.03E-03,,,
0.8714859438,0.2409638554,0.536,0.159,4E+02,,,,,,,,,0.22,0.94,,,0.05,2.03E-03,,,
0.9016064257,0.1807228916,0.505,0.157,4E+02,,,,,,,,,0.05,0.95,,,0.07,2.04E-03,,,
0.9325301205,0.1606425703,0.592,0.158,5E+02,,,,,,,,,0.05,0.96,,,0.06,2.06E-03,,,
0.8353413655,0.2489959839,0.607,0.163,534,,,,,,,,,0.06,0.96,,,0.05,2.25E-03,,,
0.7771084337,0.1726907631,0.525,0.154,6E+02,,,,,,,,,0.05,0.97,,,0.05,2.49E-03,,,
0.8554216867,0.156626506,0.553,0.161,6E+02,,,,,,,,,0.05,0.98,,,0.06,2.64E-03,,,
0.8634538153,0.1686746988,0.542,0.162,7E+02,,,,,,,,,0.18,0.98,,,0.09,2.70E-03,,,
0.8634538153,0.1526104418,0.558,0.162,7E+02,,,,,,,,,0.05,0.98,,,0.08,2.75E-03,,,
0.7510040161,0.2449799197,0.489,0.144,7E+02,,,,,,,,,0.07,0.98,,,0.05,2.81E-03,,,
0.6064257028,0.3935742972,0.587,0.176,8E+02,,,,,,,,,0.04,0.99,,,0.05,2.86E-03,,,
0.8473895582,0.1546184739,0.577,0.159,8E+02,,,,,,,,,0.07,0.99,,,0.05,3.53E-03,,,
0.8734939759,0.1445783133,0.578,0.156,9E+02,,,,,,,,,0.14,0.99,,,0.07,3.53E-03,,,
0.7670682731,0.1767068273,0.513,0.153,1E+03,,,,,,,,,0.08,0.99,,,0.10,3.68E-03,,,
0.8955823293,0.1184738956,0.584,0.157,1E+03,,,,,,,,,0.05,1.00,,,0.04,4.50E-03,,,
0.8285140562,0.1614457831,0.608,0.156,1.84E+03,,,,,,,,,0.07,1.02,,,,,,,
0.8634538153,0.1485943775,0.510,0.153,2E+03,,,,,,,,,0.06,1.06,,,,,,,
0.7871485944,0.2690763052,0.602,0.18,2E+03,,,,,,,,,0.1967871486,1.2730923695,,,,,,,
0.8554216867,0.156626506,0.576,0.151,3E+03,,,,,,,,,,,,,,,,,
0,0,,,#DIV/0!,,,,,,,,,,,,,,,,,
0,0,,,#DIV/0!,,,,,,,,,,,,,,,,,
0.39437751,1.5421686747,1.738,1.658,#DIV/0!,,,,,,,,,,,,,,,,,
0.4397590361,1.1204819277,1.309,0.528,#DIV/0!,,,,,,,,,,,,,,,,,
