Porosity [-],Bulk Density [g/cm3],Saturated Thermal Conductivity [W/mK],Dry Soil Thermal Conductivity [W/mK],Saturated Hydraulic Conductivity [m/s],alpha [1/m], n [-],s_r [-],,,Dry Soil Thermal Conductivity [W/mK],,,,Porosity [-],,,,Saturated Hydraulic Conductivity [m/s],,,alpha [1/m]
0.82,0.48,,0.10,7.18E-07,,,,,0.156626506,0.161,,,1.1967871486,0.5140562249,,,0.22,1.93E-07,,,
0.34,1.47,1.88,,8.80E-07,,,,,0.16,0.05,,,0.8514056225,0.5220883534,,,1.2409638554,3E-07,,,
0.59,0.99,1.28,,1.04E-06,,,,,0.16,0.05,,,0.6345381526,0.5321285141,,,0.92,3.29E-07,,,
0.80,0.21,,0.09,1.05E-06,,,,,0.1606425703,0.158,,,1.0281124498,0.534939759,,,0.82,4.40E-07,,,
0.87,0.33,1.43,0.09,1.74E-06,,,,,0.16,0.08,,,0.8152610442,0.5522088353,,,0.40,5.01E-07,,,
0.80,0.46,,,1.79E-06,,,,,0.1614457831,0.156,,,0.8040160643,0.5574297189,,,0.8674698795,5E-07,,,
0.81,0.28,0.55,0.07,2.20E-06,,,,,0.17,0.05,,,0.859437751,0.5722891566,,,0.859437751,7E-07,,,
0.59,1.03,1.08,0.16,2.97E-06,,,,,0.1686746988,0.162,,,1.03,0.59,,,0.48,7.18E-07,,,
0.88,0.29,,0.07,3.01E-06,,,,,0.17,0.05,,,0.718875502,0.5863453815,,,1.297188755,7E-07,,,
0.77,0.56,,0.13,3.04E-06,,,,,0.17,0.08,,,0.82,0.59,,,1.0963855422,8E-07,,,
0.82,0.27,0.59,0.07,3.51E-06,,,,,0.17,0.05,,,0.99,0.59,,,1.47,8.80E-07,,,
0.85,0.33,0.58,0.08,4.28E-06,,,,,0.1726907631,0.152,,,0.8429718876,0.5947791165,,,0.99,1.04E-06,,,
0.86,0.30,,0.07,4.86E-06,,,,,0.1726907631,0.154,,,0.59,0.60,,,0.21,1.05E-06,,,
0.88,0.23,,,4.94E-06,,,,,0.17,0.06,,,0.60,0.61,,,1.1365461847,1E-06,,,
,,1.42,,5.56E-06,,,,,0.1767068273,0.153,,,0.92,0.61,,,0.562248996,1E-06,,,
0.75,0.18,0.47,,5.71E-06,,,,,0.1767068273,0.159,,,0.3935742972,0.6064257028,,,0.2570281124,1E-06,,,
0.89,0.22,0.50,0.07,5.71E-06,,,,,0.18,0.04,,,0.98,0.62,,,0.5542168675,2E-06,,,
0.94,0.22,,0.06,6.13E-06,,,,,0.1807228916,0.157,,,0.9357429719,0.6164658635,,,0.33,1.74E-06,,,
0.86,0.22,0.60,0.06,6.68E-06,,,,,0.18,0.05,,,0.89,0.63,,,0.46,1.79E-06,,,
0.81,0.25,0.57,0.10,6.83E-06,,,,,0.18,0.05,,,0.87,0.64,,,0.5863453815,2E-06,,,
0.73,0.52,0.76,0.16,7.33E-06,,,,,0.1847389558,0.156,,,0.6224899598,0.6425702811,,,0.718875502,2E-06,,,
,,0.62,,7.79E-06,,,,,0.19,0.04,,,0.76,0.65,,,0.6224899598,2E-06,,,
0.88,0.22,0.64,0.06,9.34E-06,,,,,0.19,0.06,,,0.5481927711,0.6646586345,,,0.06,2.06E-06,,,
0.87,0.19,0.55,0.05,9.38E-06,,,,,0.19,0.05,,,0.3534136546,0.6787148594,,,0.3052208835,2E-06,,,
0.89,0.18,0.58,,9.90E-06,,,,,0.1967871486,0.165,,,0.3333333333,0.6907630522,,,0.28,2.20E-06,,,
0.89,0.17,0.34,0.05,1.10E-05,,,,,0.20,0.06,,,0.1485943775,0.6907630522,,,1.3212851406,2E-06,,,
0.91,0.18,0.55,,1.22E-05,,,,,0.20,0.06,,,0.5542168675,0.6927710843,,,0.8514056225,3E-06,,,
0.90,0.20,0.60,0.06,1.26E-05,,,,,0.20,0.06,,,0.40,0.69,,,1.03,2.97E-06,,,
0.91,0.19,0.55,0.04,1.30E-05,,,,,0.2088353414,0.161,,,0.11,0.69,,,0.29,3.01E-06,,,
0.91,0.20,0.59,0.06,1.32E-05,,,,,0.21,0.05,,,0.8710843373,0.697188755,,,0.56,3.04E-06,,,
0.92,0.23,,0.05,1.32E-05,,,,,0.21,0.09,,,0.5863453815,0.6987951807,,,0.3534136546,0.000003125,,,
0.90,0.18,0.57,,1.34E-05,,,,,0.21,0.07,,,0.74,0.71,,,0.38,3.24E-06,,,
0.65,0.76,1.42,,1.41E-05,,,,,0.21,0.08,,,0.6666666667,0.7128514056,,,0.9357429719,3E-06,,,
0.85,0.22,,0.06,1.42E-05,,,,,0.22,0.09,,,0.68,0.72,,,0.4136546185,3E-06,,,
0.88,0.18,0.55,0.05,1.47E-05,,,,,0.22,0.07,,,0.3172690763,0.718875502,,,0.8429718876,3.41E-06,,,
0.83,0.36,0.64,0.11,1.57E-05,,,,,0.22,0.06,,,0.08,0.72,,,0.27,3.51E-06,,,
0.89,0.16,0.57,0.05,1.58E-05,,,,,0.2168674699,0.153,,,0.562248996,0.7248995984,,,1.5502008032,4E-06,,,
0.89,0.21,0.58,0.05,1.87E-05,,,,,0.22,0.10,,,0.52,0.73,,,0.33,4.28E-06,,,
0.90,0.16,0.59,,1.88E-05,,,,,0.218875502,0.158,,,0.18,0.75,,,1.85,4.47E-06,,,
0.91,0.16,0.58,0.08,2.05E-05,,,,,0.22,0.06,,,0.37,0.75,,,0.6666666667,4.48E-06,,,
0.91,0.17,0.55,0.08,2.22E-05,,,,,0.22,0.06,,,0.2449799197,0.7510040161,,,0.30,4.86E-06,,,
0.85,0.30,0.58,0.144,2.43E-05,,,,,0.22,0.06,,,0.31,0.76,,,0.23,4.94E-06,,,
0.92,0.17,,0.05,3.17E-05,,,,,0.22,0.06,,,0.1767068273,0.7670682731,,,1.0281124498,5E-06,,,
0.90,0.22,,0.06,3.76E-05,,,,,0.2248995984,0.161,,,0.343373494,0.7670682731,,,0.3253012048,5E-06,,,
0.84,0.18,0.60,0.04,3.95E-05,,,,,0.23,0.05,,,0.3253012048,0.7690763052,,,,5.56E-06,,,
0.85,0.14,,0.08,4.14E-05,,,,,0.2329317269,0.154,,,0.56,0.77,,,0.4297188755,5.67E-06,,,
0.98,0.18,,0.05,4.60E-05,,,,,0.2329317269,0.162,,,0.2570281124,0.7751004016,,,0.22,5.71E-06,,,
0.88,0.17,,,5.14E-05,,,,,0.2329317269,0.166,,,0.09,0.78,,,0.18,5.71E-06,,,
0.92,0.17,,0.05,5.25E-05,,,,,0.2409638554,0.159,,,0.1726907631,0.7771084337,,,0.22,6.13E-06,,,
0.99,0.14,,0.05,5.32E-05,,,,,0.24,0.06,,,0.14,0.78,,,0.22,6.68E-06,,,
0.81,0.29,0.45,0.08,5.44E-05,,,,,0.2449799197,0.144,,,0.06,0.78,,,0.25,6.83E-06,,,
0.82,0.36,,0.09,5.49E-05,,,,,0.2489959839,0.163,,,0.22,0.79,,,0.52,7.33E-06,,,
0.85,0.17,,0.06,6.75E-05,,,,,0.25,0.10,,,0.2690763052,0.7871485944,,,0.3734939759,7E-06,,,
0.94,0.15,,0.05,6.95E-05,,,,,0.2570281124,0.147,,,0.46,0.80,,,,7.79E-06,,,
0.84,0.14,0.58,0.05,7.85E-05,,,,,0.2570281124,0.158,,,0.3534136546,0.7991967871,,,0.22,9.34E-06,,,
0.89,0.19,,0.06,8.22E-05,,,,,0.2690763052,0.18,,,0.21,0.80,,,0.19,9.38E-06,,,
0.91,0.16,,0.05,9.05E-05,,,,,0.27,0.07,,,0.2771084337,0.8032128514,,,0.18,9.90E-06,,,
0.90,0.10,0.57,0.01,1.16E-04,,,,,0.2771084337,0.154,,,0.10,0.80,,,0.4417670683,1E-05,,,
0.88,0.10,0.55,0.04,1.45E-04,,,,,0.28,0.07,,,0.21,0.80,,,0.2771084337,1E-05,,,
0.85,0.20,0.59,0.06,1.67E-04,,,,,0.29,0.08,,,0.4417670683,0.8052208835,,,0.17,1.10E-05,,,
0.87,0.15,0.53,0.09,1.98E-04,,,,,0.29,0.07,,,0.29,0.81,,,0.1847389558,1E-05,,,
0.93,0.08,0.64,0.06,2.23E-04,,,,,0.30,0.144,,,0.3052208835,0.8072289157,,,0.18,1.22E-05,,,
0.84,0.24,0.65,0.06,2.39E-04,,,,,0.2991967871,0.164,,,0.4297188755,0.8092369478,,,0.20,1.26E-05,,,
0.86,0.11,0.53,,2.50E-04,,,,,0.30,0.07,,,0.25,0.81,,,0.3333333333,1E-05,,,
0.81,0.17,0.59,,2.81E-04,,,,,0.3052208835,0.159,,,0.06,0.81,,,0.19,1.30E-05,,,
0.85,0.09,,0.06,4.02E-04,,,,,0.3080321285,0.193,,,0.17,0.81,,,0.20,1.32E-05,,,
0.75,0.37,,0.06,4.50E-04,,,,,0.3172690763,0.157,,,0.28,0.81,,,0.23,1.32E-05,,,
0.92,0.05,0.45,0.05,6.38E-04,,,,,0.3253012048,0.162,,,0.27,0.82,,,0.18,1.34E-05,,,
0.87,0.07,0.51,,8.31E-04,,,,,0.33,0.09,,,0.3734939759,0.8172690763,,,0.76,1.41E-05,,,
0.92,0.09,0.41,,1.12E-03,,,,,0.33,0.08,,,0.36,0.82,,,0.22,1.42E-05,,,
0.96,0.05,0.49,0.04,1.22E-03,,,,,0.3333333333,0.153,,,0.4136546185,0.8192771084,,,0.18,1.47E-05,,,
0.88,0.06,0.58,0.09,1.37E-03,,,,,0.343373494,0.162,,,0.48,0.82,,,0.3080321285,1.48E-05,,,
0.96,0.06,0.48,0.07,1.38E-03,,,,,0.3534136546,0.155,,,0.38,0.82,,,0.2570281124,2E-05,,,
0.86,0.09,0.30,,1.60E-03,,,,,0.3534136546,0.168,,,0.2329317269,0.8253012048,,,0.2088353414,1.57E-05,,,
0.99,0.07,0.24,0.06,1.69E-03,,,,,0.36,0.11,,,0.1847389558,0.8273092369,,,0.36,1.57E-05,,,
0.99,0.08,,,1.82E-03,,,,,0.36,0.09,,,0.2329317269,0.8273092369,,,0.16,1.58E-05,,,
0.98,0.05,0.33,0.05,1.88E-03,,,,,0.37,0.06,,,0.1614457831,0.8285140562,,,0.2329317269,2E-05,,,
